17/02/1956,MEMORIES ARE MADE OF THIS,DEAN MARTIN,4
16/03/1956,IT'S ALMOST TOMORROW,DREAM WEAVERS,2
30/03/1956,ROCK AND ROLL WALTZ,KAY STARR,2
06/04/1956,IT'S ALMOST TOMORROW,DREAM WEAVERS,1
13/04/1956,POOR PEOPLE OF PARIS,WINIFRED ATWELL,3
04/05/1956,NO OTHER LOVE,RONNIE HILTON,6
15/06/1956,I'LL BE HOME,PAT BOONE,5
20/07/1956,WHY DO FOOLS FALL IN LOVE,TEENAGERS FEATURING FRANKIE LYMON,3
10/08/1956,WHATEVER WILL BE WILL BE,DORIS DAY,6
21/09/1956,LAY DOWN YOUR ARMS,ANNE SHELTON,4
19/10/1956,A WOMAN IN LOVE,FRANKIE LAINE,4
16/11/1956,JUST WALKIN' IN THE RAIN,JOHNNIE RAY,7
04/01/1957,SINGING THE BLUES,GUY MITCHELL,1
11/01/1957,SINGING THE BLUES,TOMMY STEELE & THE STEELMEN,1
18/01/1957,SINGING THE BLUES,GUY MITCHELL,1
25/01/1957,THE GARDEN OF EDEN,FRANKIE VAUGHAN,4
01/02/1957,SINGING THE BLUES,GUY MITCHELL,1
22/02/1957,YOUNG LOVE,TAB HUNTER,7
12/04/1957,CUMBERLAND GAP,LONNIE DONEGAN,5
17/05/1957,ROCK-A-BILLY,GUY MITCHELL,1
24/05/1957,BUTTERFLY,ANDY WILLIAMS,2
07/06/1957,YES TONIGHT JOSEPHINE,JOHNNIE RAY,3
28/06/1957,GAMBLIN' MAN/PUTTING ON THE STYLE,LONNIE DONEGAN,2
12/07/1957,ALL SHOOK UP,ELVIS PRESLEY WITH THE JORDANAIRES,7
30/08/1957,DIANA,PAUL ANKA,9
01/11/1957,THAT'LL BE THE DAY,CRICKETS,3
22/11/1957,MARY'S BOY CHILD,HARRY BELAFONTE,7
10/01/1958,GREAT BALLS OF FIRE,JERRY LEE LEWIS,2
24/01/1958,JAILHOUSE ROCK,ELVIS PRESLEY,3
14/02/1958,THE STORY OF MY LIFE,MICHAEL HOLLIDAY,2
28/02/1958,MAGIC MOMENTS,PERRY COMO,8
25/04/1958,WHOLE LOTTA WOMAN,MARVIN RAINWATER,3
16/05/1958,WHO'S SORRY NOW,CONNIE FRANCIS,6
27/06/1958,ON THE STREET WHERE YOU LIVE,VIC DAMONE,2
04/07/1958,ALL I HAVE TO DO IS DREAM/CLAUDETTE,EVERLY BROTHERS,7
22/08/1958,WHEN,KALIN TWINS,5
26/09/1958,CAROLINA MOON/STUPID CUPID,CONNIE FRANCIS,6
07/11/1958,IT'S ALL IN THE GAME,TOMMY EDWARDS,3
28/11/1958,HOOTS MON,LORD ROCKINGHAM'S XI,3
19/12/1958,IT'S ONLY MAKE BELIEVE,CONWAY TWITTY,5
23/01/1959,THE DAYS THE RAINS CAME,JANE MORGAN,1
30/01/1959,ONE NIGHT/I GOT STUNG,ELVIS PRESLEY,3
20/02/1959,AS I LOVE YOU,SHIRLEY BASSEY,4
20/03/1959,SMOKE GETS IN YOUR EYES,PLATTERS,1
27/03/1959,SIDE SADDLE,RUSS CONWAY,4
24/04/1959,IT DOESN'T MATTER ANYMORE,BUDDY HOLLY,3
15/05/1959,A FOOL SUCH AS I/I NEED YOUR LOVE TONIGHT,ELVIS PRESLEY,5
19/06/1959,ROULETTE,RUSS CONWAY,2
03/07/1959,DREAM LOVER,BOBBY DARIN,4
31/07/1959,LIVING DOLL,CLIFF RICHARD & THE SHADOWS,6
11/09/1959,ONLY SIXTEEN,CRAIG DOUGLAS,4
09/10/1959,HERE COMES SUMMER,JERRY KELLER,1
16/10/1959,MACK THE KNIFE,BOBBY DARIN,2
30/10/1959,TRAVELLIN' LIGHT,CLIFF RICHARD & THE SHADOWS,5
04/12/1959,WHAT DO YOU WANT,ADAM FAITH,3
18/12/1959,WHAT DO YOU WANT TO MAKE THOSE EYES AT ME FOR,EMILE FORD & THE CHECKMATES,6
29/01/1960,STARRY EYED,MICHAEL HOLLIDAY WITH THE MICHAEL SAMMES SINGERS,1
05/02/1960,WHY,ANTHONY NEWLEY,4
10/03/1960,POOR ME,ADAM FAITH,1
17/03/1960,RUNNING BEAR,JOHNNY PRESTON,2
31/03/1960,MY OLD MAN'S A DUSTMAN,LONNIE DONEGAN,4
28/04/1960,DO YOU MIND,ANTHONY NEWLEY,1
05/05/1960,CATHY'S CLOWN,EVERLY BROTHERS,7
23/06/1960,THREE STEPS TO HEAVEN,EDDIE COCHRAN,2
07/07/1960,GOOD TIMIN',JIMMY JONES,3
28/07/1960,PLEASE DON'T TEASE,CLIFF RICHARD & THE SHADOWS,1
04/08/1960,SHAKIN' ALL OVER,JOHNNY KIDD & THE PIRATES,1
11/08/1960,PLEASE DON'T TEASE,CLIFF RICHARD & THE SHADOWS,2
25/08/1960,APACHE,SHADOWS,5
29/09/1960,TELL LAURA I LOVE HER,RICKY VALANCE,3
20/10/1960,ONLY THE LONELY,ROY ORBISON,2
03/11/1960,IT'S NOW OR NEVER,ELVIS PRESLEY WITH THE JORDANAIRES,8
29/12/1960,I LOVE YOU,CLIFF RICHARD & THE SHADOWS,2
12/01/1961,POETRY IN MOTION,JOHNNY TILLOTSON,2
26/01/1961,ARE YOU LONESOME TONIGHT,ELVIS PRESLEY WITH THE JORDANAIRES,4
23/02/1961,SAILOR,PETULA CLARK,1
02/03/1961,WALK RIGHT BACK/EBONY EYES,EVERLY BROTHERS,3
23/03/1961,WOODEN HEART,ELVIS PRESLEY,6
04/05/1961,BLUE MOON,MARCELS,2
18/05/1961,ON THE REBOUND,FLOYD CRAMER,1
25/05/1961,YOU'RE DRIVING ME CRAZY,TEMPERANCE SEVEN,1
01/06/1961,SURRENDER,ELVIS PRESLEY WITH THE JORDANAIRES,4
29/06/1961,RUNAWAY,DEL SHANNON,3
20/07/1961,TEMPTATION,EVERLY BROTHERS,2
03/08/1961,WELL I ASK YOU,EDEN KANE,1
10/08/1961,YOU DON'T KNOW,HELEN SHAPIRO,3
31/08/1961,JOHNNY REMEMBER ME,JOHN LEYTON,3
21/09/1961,REACH FOR THE STARS/CLIMB EV'RY MOUNTAIN,SHIRLEY BASSEY,1
28/09/1961,JOHNNY REMEMBER ME,JOHN LEYTON,1
05/10/1961,KON-TIKI,SHADOWS,1
12/10/1961,MICHAEL,HIGHWAYMEN,1
19/10/1961,WALKIN' BACK TO HAPPINESS,HELEN SHAPIRO,3
09/11/1961,(MARIE'S THE NAME) HIS LATEST FLAME/LITTLE SISTER,ELVIS PRESLEY,4
07/12/1961,TOWER OF STRENGTH,FRANKIE VAUGHAN,3
28/12/1961,MOON RIVER,DANNY WILLIAMS,2
11/01/1962,THE YOUNG ONES,CLIFF RICHARD & THE SHADOWS,6
22/02/1962,ROCK A HULA BABY/CAN'T HELP FALLING IN LOVE,ELVIS PRESLEY,4
22/03/1962,WONDERFUL LAND,SHADOWS,8
17/05/1962,NUT ROCKER,B.BUMBLE & THE STINGERS,1
24/05/1962,GOOD LUCK CHARM,ELVIS PRESLEY,5
28/06/1962,COME OUTSIDE,MIKE SARNE WITH WENDY RICHARD,2
12/07/1962,I CAN'T STOP LOVING YOU,RAY CHARLES,2
26/07/1962,I REMEMBER YOU,FRANK IFIELD,7
13/09/1962,SHE'S NOT YOU,ELVIS PRESLEY,3
04/10/1962,TELSTAR,TORNADOS,5
08/11/1962,LOVESICK BLUES,FRANK IFIELD,5
13/12/1962,RETURN TO SENDER,ELVIS PRESLEY WITH THE JORDANAIRES,3
03/01/1963,THE NEXT TIME/BACHELOR BOY,CLIFF RICHARD & THE SHADOWS,3
24/01/1963,DANCE ON!,SHADOWS,1
31/01/1963,DIAMONDS,JET HARRIS & TONY MEEHAN,3
21/02/1963,THE WAYWARD WIND,FRANK IFIELD,3
14/03/1963,SUMMER HOLIDAY,CLIFF RICHARD & THE SHADOWS,2
29/03/1963,FOOT TAPPER,SHADOWS,1
04/04/1963,SUMMER HOLIDAY,CLIFF RICHARD & THE SHADOWS,1
11/04/1963,HOW DO YOU DO IT?,GERRY & THE PACEMAKERS,3
02/05/1963,FROM ME TO YOU,BEATLES,7
20/06/1963,I LIKE IT,GERRY & THE PACEMAKERS,4
18/07/1963,CONFESSIN' (THAT I LOVE YOU),FRANK IFIELD,2
01/08/1963,(YOU'RE THE) DEVIL IN DISGUISE,ELVIS PRESLEY WITH THE JORDANAIRES,1
08/08/1963,SWEETS FOR MY SWEET,SEARCHERS,2
22/08/1963,BAD TO ME,BILLY J. KRAMER & THE DAKOTAS,3
12/09/1963,SHE LOVES YOU,BEATLES,4
10/10/1963,DO YOU LOVE ME,BRIAN POOLE & THE TREMELOES,3
31/10/1963,YOU'LL NEVER WALK ALONE,GERRY & THE PACEMAKERS,4
28/11/1963,SHE LOVES YOU,BEATLES,2
12/12/1963,I WANT TO HOLD YOUR HAND,BEATLES,5
16/01/1964,GLAD ALL OVER,DAVE CLARK FIVE,2
30/01/1964,NEEDLES AND PINS,SEARCHERS,3
20/02/1964,DIANE,BACHELORS,1
27/02/1964,ANYONE WHO HAD A HEART,CILLA BLACK,3
19/03/1964,LITTLE CHILDREN,BILLY J. KRAMER & THE DAKOTAS,2
02/04/1964,CAN'T BUY ME LOVE,BEATLES,3
23/04/1964,A WORLD WITHOUT LOVE,PETER & GORDON,2
07/05/1964,DON'T THROW YOUR LOVE AWAY,SEARCHERS,2
21/05/1964,JULIET,FOUR PENNIES,1
28/05/1964,YOU'RE MY WORLD,CILLA BLACK,4
25/06/1964,IT'S OVER,ROY ORBISON,2
09/07/1964,THE HOUSE OF THE RISING SUN,ANIMALS,1
16/07/1964,IT'S ALL OVER NOW,ROLLING STONES,1
23/07/1964,A HARD DAY'S NIGHT,BEATLES,3
13/08/1964,DO WAH DIDDY DIDDY,MANFRED MANN,2
27/08/1964,HAVE I THE RIGHT,HONEYCOMBS,2
10/09/1964,YOU REALLY GOT ME,KINKS,2
24/09/1964,I'M INTO SOMETHING GOOD,HERMAN'S HERMITS,2
08/10/1964,OH PRETTY WOMAN,ROY ORBISON,2
22/10/1964,(THERE'S) ALWAYS SOMETHING THERE TO REMIND ME,SANDIE SHAW,3
12/11/1964,OH PRETTY WOMAN,ROY ORBISON,1
19/11/1964,BABY LOVE,SUPREMES,2
03/12/1964,LITTLE RED ROOSTER,ROLLING STONES,1
10/12/1964,I FEEL FINE,BEATLES,5
14/01/1965,YEH YEH,GEORGIE FAME & THE BLUE FLAMES,2
28/01/1965,GO NOW,MOODY BLUES,1
04/02/1965,YOU'VE LOST THAT LOVING FEELIN',RIGHTEOUS BROTHERS,2
18/02/1965,TIRED OF WAITING FOR YOU,KINKS,1
25/02/1965,I'LL NEVER FIND ANOTHER YOU,SEEKERS,2
11/03/1965,IT'S NOT UNUSUAL,TOM JONES,1
18/03/1965,THE LAST TIME,ROLLING STONES,3
08/04/1965,CONCRETE AND CLAY,UNIT FOUR PLUS TWO,1
15/04/1965,THE MINUTE YOU'RE GONE,CLIFF RICHARD,1
22/04/1965,TICKET TO RIDE,BEATLES,3
13/05/1965,KING OF THE ROAD,ROGER MILLER,1
20/05/1965,WHERE ARE YOU NOW (MY LOVE),JACKIE TRENT,1
27/05/1965,LONG LIVE LOVE,SANDIE SHAW,3
17/06/1965,CRYING IN THE CHAPEL,ELVIS PRESLEY,1
24/06/1965,I'M ALIVE,HOLLIES,1
01/07/1965,CRYING IN THE CHAPEL,ELVIS PRESLEY,1
08/07/1965,I'M ALIVE,HOLLIES,2
22/07/1965,MR TAMBOURINE MAN,BYRDS,2
05/08/1965,HELP!,BEATLES,3
26/08/1965,I GOT YOU BABE,SONNY & CHER,2
09/09/1965,(I CAN'T GET NO) SATISFACTION,ROLLING STONES,2
23/09/1965,MAKE IT EASY ON YOURSELF,WALKER BROTHERS,1
30/09/1965,TEARS,KEN DODD,5
04/11/1965,GET OFF OF MY CLOUD,ROLLING STONES,3
25/11/1965,THE CARNIVAL IS OVER,SEEKERS,3
16/12/1965,DAY TRIPPER/WE CAN WORK IT OUT,BEATLES,5
20/01/1966,KEEP ON RUNNING,SPENCER DAVIS GROUP,1
27/01/1966,MICHELLE,OVERLANDERS,3
17/02/1966,THESE BOOTS ARE MADE FOR WALKIN',NANCY SINATRA,4
17/03/1966,THE SUN AIN'T GONNA SHINE ANYMORE,WALKER BROTHERS,4
14/04/1966,SOMEBODY HELP ME,SPENCER DAVIS GROUP,2
28/04/1966,YOU DON'T HAVE TO SAY YOU LOVE ME,DUSTY SPRINGFIELD,1
05/05/1966,PRETTY FLAMINGO,MANFRED MANN,3
26/05/1966,PAINT IT, BLACK,ROLLING STONES,1
02/06/1966,STRANGERS IN THE NIGHT,FRANK SINATRA,3
23/06/1966,PAPERBACK WRITER,BEATLES,2
07/07/1966,SUNNY AFTERNOON,KINKS,2
21/07/1966,GET AWAY,GEORGIE FAME & THE BLUE FLAMES,1
28/07/1966,OUT OF TIME,CHRIS FARLOWE,1
04/08/1966,WITH A GIRL LIKE YOU,TROGGS,2
18/08/1966,YELLOW SUBMARINE/ELEANOR RIGBY,BEATLES,4
15/09/1966,ALL OR NOTHING,SMALL FACES,1
22/09/1966,DISTANT DRUMS,JIM REEVES,5
27/10/1966,REACH OUT I'LL BE THERE,FOUR TOPS,3
17/11/1966,GOOD VIBRATIONS,BEACH BOYS,2
01/12/1966,GREEN GREEN GRASS OF HOME,TOM JONES,7
19/01/1967,I'M A BELIEVER,MONKEES,4
16/02/1967,THIS IS MY SONG,PETULA CLARK,2
02/03/1967,RELEASE ME,ENGELBERT HUMPERDINCK,6
13/04/1967,SOMETHIN' STUPID,NANCY SINATRA & FRANK SINATRA,2
27/04/1967,PUPPET ON A STRING,SANDIE SHAW,3
18/05/1967,SILENCE IS GOLDEN,TREMELOES,3
08/06/1967,A WHITER SHADE OF PALE,PROCOL HARUM,6
19/07/1967,ALL YOU NEED IS LOVE,BEATLES,3
09/08/1967,SAN FRANCISCO (BE SURE TO WEAR SOME FLOWERS IN YOUR HAIR),SCOTT MCKENZIE,4
06/09/1967,THE LAST WALTZ,ENGELBERT HUMPERDINCK,5
11/10/1967,MASSACHUSETTS,BEE GEES,4
08/11/1967,BABY NOW THAT I'VE FOUND YOU,FOUNDATIONS,2
22/11/1967,LET THE HEARTACHES BEGIN,LONG JOHN BALDRY,2
06/12/1967,HELLO GOODBYE,BEATLES,7
24/01/1968,THE BALLAD OF BONNIE AND CLYDE,GEORGIE FAME,1
31/01/1968,EVERLASTING LOVE,LOVE AFFAIR,2
14/02/1968,MIGHTY QUINN,MANFRED MANN,2
28/02/1968,CINDERELLA ROCKEFELLA,ESTHER & ABI OFARIM,3
20/03/1968,THE LEGEND OF XANADU,DAVE DEE, DOZY, BEAKY, MICK & TICH,1
27/03/1968,LADY MADONNA,BEATLES,2
10/04/1968,CONGRATULATIONS,CLIFF RICHARD,2
24/04/1968,WHAT A WONDERFUL WORLD/CABARET,LOUIS ARMSTRONG,4
22/05/1968,YOUNG GIRL,UNION GAP FEATURING GARY PUCKETT,4
19/06/1968,JUMPIN' JACK FLASH,ROLLING STONES,2
03/07/1968,BABY COME BACK,EQUALS,3
24/07/1968,I PRETEND,DES O'CONNOR,1
31/07/1968,MONY MONY,TOMMY JAMES & THE SHONDELLS,2
14/08/1968,FIRE,CRAZY WORLD OF ARTHUR BROWN,1
21/08/1968,MONY MONY,TOMMY JAMES & THE SHONDELLS,1
28/08/1968,DO IT AGAIN,BEACH BOYS,1
04/09/1968,I'VE GOTTA GET A MESSAGE TO YOU,BEE GEES,1
11/09/1968,HEY JUDE,BEATLES,2
25/09/1968,THOSE WERE THE DAYS,MARY HOPKIN,6
06/11/1968,WITH A LITTLE HELP FROM MY FRIENDS,JOE COCKER,1
13/11/1968,THE GOOD THE BAD AND THE UGLY,HUGO MONTENEGRO & HIS ORCHESTRA & CHORUS,4
11/12/1968,LILY THE PINK,SCAFFOLD,3
01/01/1969,OB-LA-DI OB-LA-DA,MARMALADE,1
08/01/1969,LILY THE PINK,SCAFFOLD,1
15/01/1969,OB-LA-DI OB-LA-DA,MARMALADE,2
29/01/1969,ALBATROSS,FLEETWOOD MAC,1
05/02/1969,BLACKBERRY WAY,MOVE,1
12/02/1969,(IF PARADISE IS) HALF AS NICE,AMEN CORNER,2
26/02/1969,WHERE DO YOU GO TO MY LOVELY,PETER SARSTEDT,4
26/03/1969,I HEARD IT THROUGH THE GRAPEVINE,MARVIN GAYE,3
16/04/1969,ISRAELITES,DESMOND DEKKER & THE ACES,1
23/04/1969,GET BACK,BEATLES WITH BILLY PRESTON,6
04/06/1969,DIZZY,TOMMY ROE,1
11/06/1969,THE BALLAD OF JOHN AND YOKO,BEATLES,3
02/07/1969,SOMETHING IN THE AIR,THUNDERCLAP NEWMAN,3
23/07/1969,HONKY TONK WOMEN,ROLLING STONES,5
30/08/1969,IN THE YEAR 2525 (EXORIUM AND TERMINUS),ZAGER & EVANS,3
20/09/1969,BAD MOON RISING,CREEDENCE CLEARWATER REVIVAL,3
11/10/1969,JE T'AIME... MOI NON PLUS,JANE BIRKIN & SERGE GAINSBOURG,1
18/10/1969,I'LL NEVER FALL IN LOVE AGAIN,BOBBY GENTRY,1
25/10/1969,SUGAR SUGAR,ARCHIES,8
20/12/1969,TWO LITTLE BOYS,ROLF HARRIS,6
31/01/1970,LOVE GROWS (WHERE MY ROSEMARY GOES),EDISON LIGHTHOUSE,5
07/03/1970,WANDRIN' STAR,LEE MARVIN,3
28/03/1970,BRIDGE OVER TROUBLED WATER,SIMON & GARFUNKEL,3
18/04/1970,ALL KINDS OF EVERYTHING,DANA,2
02/05/1970,SPIRIT IN THE SKY,NORMAN GREENBAUM,2
16/05/1970,BACK HOME,ENGLAND WORLD CUP SQUAD,3
06/06/1970,YELLOW RIVER,CHRISTIE,1
13/06/1970,IN THE SUMMERTIME,MUNGO JERRY,7
01/08/1970,THE WONDER OF YOU,ELVIS PRESLEY,6
12/09/1970,TEARS OF A CLOWN,SMOKEY ROBINSON & THE MIRACLES,1
19/09/1970,BAND OF GOLD,FREDA PAYNE,6
31/10/1970,WOODSTOCK,MATTHEW'S SOUTHERN COMFORT,3
21/11/1970,VOODOO CHILE,JIMI HENDRIX EXPERIENCE,1
28/11/1970,I HEAR YOU KNOCKING,DAVE EDMUNDS,6
09/01/1971,GRANDAD,CLIVE DUNN,3
30/01/1971,MY SWEET LORD,GEORGE HARRISON,5
06/03/1971,BABY JUMP,MUNGO JERRY,2
20/03/1971,HOT LOVE,T REX,6
01/05/1971,DOUBLE BARREL,DAVE & ANSIL COLLINS,2
15/05/1971,KNOCK THREE TIMES,DAWN,5
19/06/1971,CHIRPY CHIRPY CHEEP CHEEP,MIDDLE OF THE ROAD,5
24/07/1971,GET IT ON,T REX,4
21/08/1971,I'M STILL WAITING,DIANA ROSS,4
18/09/1971,HEY GIRL DON'T BOTHER ME,TAMS,3
09/10/1971,REASON TO BELIEVE/MAGGIE MAY,ROD STEWART,5
13/11/1971,COZ I LUV YOU,SLADE,4
11/12/1971,ERNIE (THE FASTEST MILKMAN IN THE WEST),BENNY HILL,4
08/01/1972,I'D LIKE TO TEACH THE WORLD TO SING (IN PERFECT HARMONY),NEW SEEKERS,4
05/02/1972,TELEGRAM SAM,T REX,2
19/02/1972,SON OF MY FATHER,CHICORY TIP,3
11/03/1972,WITHOUT YOU,NILSSON,5
15/04/1972,AMAZING GRACE,THE PIPES & DRUMS & MILITARY BAND OF THE ROYAL SCOTS DRAGOON GUARDS,5
20/05/1972,METAL GURU,T REX,4
17/06/1972,VINCENT,DON MCLEAN,2
01/07/1972,TAKE ME BACK 'OME,SLADE,1
08/07/1972,PUPPY LOVE,DONNY OSMOND,5
12/08/1972,SCHOOL'S OUT,ALICE COOPER,3
02/09/1972,YOU WEAR IT WELL,ROD STEWART,1
09/09/1972,MAMA WEER ALL CRAZEE NOW,SLADE,3
30/09/1972,HOW CAN I BE SURE,DAVID CASSIDY,2
14/10/1972,MOULDY OLD DOUGH,LIEUTENANT PIGEON,4
11/11/1972,CLAIR,GILBERT O'SULLIVAN,2
25/11/1972,MY DING-A-LING,CHUCK BERRY,4
23/12/1972,LONG HAIRED LOVER FROM LIVERPOOL,LITTLE JIMMY OSMOND,5
27/01/1973,BLOCKBUSTER,SWEET,5
03/03/1973,CUM ON FEEL THE NOIZE,SLADE,4
31/03/1973,THE TWELFTH OF NEVER,DONNY OSMOND,1
07/04/1973,GET DOWN,GILBERT O'SULLIVAN,2
21/04/1973,TIE A YELLOW RIBBON ROUND THE OLD OAK TREE,DAWN FEATURING TONY ORLANDO,4
19/05/1973,SEE MY BABY JIVE,WIZZARD,4
16/06/1973,CAN THE CAN,SUZI QUATRO,1
23/06/1973,RUBBER BULLETS,10 C.C.,1
30/06/1973,SKWEEZE ME PLEEZE ME,SLADE,3
21/07/1973,WELCOME HOME,PETERS & LEE,1
28/07/1973,I'M THE LEADER OF THE GANG (I AM),GARY GLITTER,4
25/08/1973,YOUNG LOVE,DONNY OSMOND,4
22/09/1973,ANGEL FINGERS,WIZZARD,1
29/09/1973,EYE LEVEL,SIMON PARK ORCHESTRA,4
27/10/1973,DAYDREAMER/THE PUPPY SONG,DAVID CASSIDY,3
17/11/1973,I LOVE YOU LOVE ME LOVE,GARY GLITTER,4
15/12/1973,MERRY XMAS EVERYBODY,SLADE,5
19/01/1974,YOU WON'T FIND ANOTHER FOOL LIKE ME,NEW SEEKERS,1
26/01/1974,TIGER FEET,MUD,4
23/02/1974,DEVIL GATE DRIVE,SUZI QUATRO,2
09/03/1974,JEALOUS MIND,ALVIN STARDUST,1
16/03/1974,BILLY, DON'T BE A HERO,PAPER LACE,3
06/04/1974,SEASONS IN THE SUN,TERRY JACKS,4
04/05/1974,WATERLOO,ABBA,2
18/05/1974,SUGAR BABY LOVE,RUBETTES,4
15/06/1974,THE STREAK,RAY STEVENS,1
22/06/1974,ALWAYS YOURS,GARY GLITTER,1
29/06/1974,SHE,CHARLES AZNAVOUR,4
27/07/1974,ROCK YOUR BABY,GEORGE MCCRAE,3
17/08/1974,WHEN WILL I SEE YOU AGAIN,THREE DEGREES,2
31/08/1974,LOVE ME FOR A REASON,OSMONDS,3
21/09/1974,KUNG FU FIGHTING,CARL DOUGLAS,3
12/10/1974,ANNIE'S SONG,JOHN DENVER,1
19/10/1974,SAD SWEET DREAMER,SWEET SENSATION,1
26/10/1974,EVERYTHING I OWN,KEN BOOTHE,3
16/11/1974,GONNA MAKE YOU A STAR,DAVID ESSEX,3
07/12/1974,YOU'RE THE FIRST THE LAST MY EVERYTHING,BARRY WHITE,2
21/12/1974,LONELY THIS CHRISTMAS,MUD,4
18/01/1975,DOWN DOWN,STATUS QUO,1
25/01/1975,MS GRACE,TYMES,1
01/02/1975,JANUARY,PILOT,3
22/02/1975,MAKE ME SMILE (COME UP AND SEE ME),STEVE HARLEY & COCKNEY REBEL,2
08/03/1975,IF,TELLY SAVALAS,2
22/03/1975,BYE BYE BABY,BAY CITY ROLLERS,6
03/05/1975,OH BOY,MUD,2
17/05/1975,STAND BY YOUR MAN,TAMMY WYNETTE,3
07/06/1975,WHISPERING GRASS,WINDSOR DAVIES & DON ESTELLE,3
28/06/1975,I'M NOT IN LOVE,10 C.C.,2
12/07/1975,TEARS ON MY PILLOW,JOHNNY NASH,1
19/07/1975,GIVE A LITTLE LOVE,BAY CITY ROLLERS,3
09/08/1975,BARBADOS,TYPICALLY TROPICAL,1
16/08/1975,CAN'T GIVE YOU ANYTHING (BUT MY LOVE),STYLISTICS,3
06/09/1975,SAILING,ROD STEWART,4
04/10/1975,HOLD ME CLOSE,DAVID ESSEX,3
25/10/1975,I ONLY HAVE EYES FOR YOU,ART GARFUNKEL,2
08/11/1975,SPACE ODDITY,DAVID BOWIE,2
22/11/1975,D.I.V.O.R.C.E.,BILLY CONNOLLY,1
29/11/1975,BOHEMIAN RHAPSODY,QUEEN,9
31/01/1976,MAMMA MIA,ABBA,2
14/02/1976,FOREVER AND EVER,SLIK,1
21/02/1976,DECEMBER '63 (OH WHAT A NIGHT),FOUR SEASONS,2
06/03/1976,I LOVE TO LOVE (BUT MY BABY LOVES TO DANCE),TINA CHARLES,3
27/03/1976,SAVE YOUR KISSES FOR ME,BROTHERHOOD OF MAN,6
